file,exists,kind,count,sources,recommendation,exports,absPath
"src/lib/api/helpers.ts",true,lib,7,"ts-prune",manual,"withCache|withMonitoring|withCacheAndMonitoring|withRateLimit|withRetry|withTimeout|withFullEnhancement","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/api/helpers.ts"
"src/lib/notification-email-integration.ts",true,lib,7,"ts-prune",manual,"NotificationType|NotificationPriority|NotificationEmailIntegrationOptions|notificationEmailIntegration","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/notification-email-integration.ts"
"src/lib/performance/bundleOptimization.ts",true,lib,7,"ts-prune",manual,"dynamicImportWithRetry|preloadModule|lazyWithPreload|PURE|createTreeShakableExport|ROUTE_CHUNKS|getChunkForRoute","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/performance/bundleOptimization.ts"
"src/lib/simple-logger.ts",true,lib,7,"ts-prune",manual,"LogMeta|LogEntry|simpleLogger|authLogger|auditLogger|performanceLogger|securityLogger|simpleLogger","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/simple-logger.ts"
"src/app/api/abac/policies/route.ts",true,api-route,6,"ts-prune",keep,"protectedGET|protectedPOST|protectedDELETE","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/abac/policies/route.ts"
"src/app/api/abac/roles/route.ts",true,api-route,6,"ts-prune",keep,"protectedGET|protectedPOST|protectedDELETE","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/abac/roles/route.ts"
"src/hooks/useRegistrarUsuario.ts",true,hook,6,"ts-prune",manual,"useRegistrarUsuario|useValidarAtributosABAC|useVerificarEmailDisponivel|useRegistrarUsuario","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/hooks/useRegistrarUsuario.ts"
"src/lib/abac/enforcer-abac-puro.ts",true,lib,6,"ts-prune",manual,"abacEnforcerPuro","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/abac/enforcer-abac-puro.ts"
"src/lib/email-service.ts",true,lib,6,"ts-prune",manual,"EmailOptions|EmailAttachment|TemplateEmailOptions|EmailStats|emailService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/email-service.ts"
"src/app/admin/dashboard/api/permissoes.ts",true,other,5,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/permissoes.ts"
"src/app/admin/dashboard/api/usuarios.ts",true,other,5,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/usuarios.ts"
"src/app/admin/dashboard/hooks/index.ts",true,other,5,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/hooks/index.ts"
"src/components/ui/dialog.tsx",true,component,5,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/dialog.tsx"
"src/components/ui/form-field.tsx",true,component,5,"ts-prune",manual,"FormFieldProps|FormContainer|FormSection","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/form-field.tsx"
"src/components/ui/loading.tsx",true,component,5,"ts-prune",manual,"LoadingSpinnerProps|PageLoading|ButtonLoading","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/loading.tsx"
"src/components/ui/select.tsx",true,component,5,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/select.tsx"
"src/lib/abac/hoc.tsx",true,lib,5,"ts-prune",manual,"WithABACOptions|withABAC|usePermission|PermissionGate|useRole|ABACProtectedPage","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/abac/hoc.tsx"
"src/lib/atuarial/otimizacao-performance.ts",true,lib,5,"ts-prune",manual,"ResultadoBenchmark|RelatorioPerformance|OtimizadorPerformance|CacheCalculosAtuariais|cacheable","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/atuarial/otimizacao-performance.ts"
"src/lib/audit/auditLogger.ts",true,lib,5,"ts-prune",manual,"AuditData|AuditLogger|auditLogger|useAuditLogger|auditLogger","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/audit/auditLogger.ts"
"src/lib/notifications/notification-service.ts",true,lib,5,"ts-prune",manual,"NotificationRequest|BulkNotificationRequest|NotificationStats|NotificationService|notificationService|getNotificationService|notificationService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/notifications/notification-service.ts"
"src/lib/validation.ts",true,lib,5,"ts-prune",manual,"signInSchema|signUpSchema|totpSchema|SignInInput|SignUpInput|TotpInput","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/validation.ts"
"src/app/api/permissoes/route.ts",true,api-route,4,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/permissoes/route.ts"
"src/app/api/usuarios/route.ts",true,api-route,4,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/usuarios/route.ts"
"src/configs/mfaConfig.ts",true,other,4,"ts-prune",manual,"MfaFlow|MfaConfig|mfaConfig|isMfaObrigatorio","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/configs/mfaConfig.ts"
"src/lib/abac/middleware.ts",true,lib,4,"ts-prune",manual,"ABACMiddlewareConfig|createABACMiddleware|withABACAuthorization","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/abac/middleware.ts"
"src/lib/api/services/exchange-simple.ts",true,lib,4,"ts-prune",manual,"ExchangeRates|ExchangeOptions|ConversionResult|ExchangeService|exchangeService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/api/services/exchange-simple.ts"
"src/lib/atuarial/calculos-financeiros.ts",true,lib,4,"ts-prune",manual,"DadosAnuidade|DadosSeguro|IntervaloConfianca|ProjecaoFinanceira|AnaliseRisco|ResumoExecutivo|RelatorioCompleto|CalculosFinanceirosAtuariais","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/atuarial/calculos-financeiros.ts"
"src/lib/logger.ts",true,lib,4,"ts-prune",manual,"LogMeta|structuredLogger|structuredLogger|performanceLogger|logHelpers","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/logger.ts"
"src/lib/notifications/push-service.ts",true,lib,4,"ts-prune",manual,"PushSubscription|PushConfig|PushNotificationData|PushNotificationService|createPushNotificationService|PushNotificationService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/notifications/push-service.ts"
"src/middleware/logging.ts",true,other,4,"ts-prune",manual,"createLoggingMiddleware|createAuditMiddleware|createRateLimitMiddleware|createComprehensiveMiddleware|createComprehensiveMiddleware","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/middleware/logging.ts"
"src/utils/validation.ts",true,other,4,"ts-prune",manual,"emailValidation|passwordValidation|confirmPasswordValidation|nameValidation","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/utils/validation.ts"
"src/app/api/admin/tabuas-mortalidade/[id]/route.ts",true,api-route,3,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/admin/tabuas-mortalidade/[id]/route.ts"
"src/app/api/cep/route.ts",true,api-route,3,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/cep/route.ts"
"src/app/api/notifications/push/route.ts",true,api-route,3,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/notifications/push/route.ts"
"src/app/layout.tsx",true,other,3,"ts-prune",manual,"metadata|viewport|function","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/layout.tsx"
"src/components/auth/AuthGuard.tsx",true,component,3,"ts-prune",manual,"AuthGuard|useAuth|withAuthGuard|AuthGuard","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/auth/AuthGuard.tsx"
"src/components/notifications/notification-badge.tsx",true,component,3,"ts-prune",manual,"NotificationBadge|SimpleNotificationBadge|NotificationIndicator","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/notifications/notification-badge.tsx"
"src/components/ui/card.tsx",true,component,3,"ts-prune",manual,"CardProps","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/card.tsx"
"src/components/ui/navigation-menu.tsx",true,component,3,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/components/ui/navigation-menu.tsx"
"src/hooks/useCalculosAtuariais.ts",true,hook,3,"ts-prune",manual,"useCalculosAtuariais","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/hooks/useCalculosAtuariais.ts"
"src/lib/api/cache-simple.ts",true,lib,3,"ts-prune",manual,"CacheEntry|CacheStats|SimpleApiCache|apiCache","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/api/cache-simple.ts"
"src/lib/api/services/cep-simple.ts",true,lib,3,"ts-prune",manual,"CepData|CepLookupOptions|CepService|cepService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/api/services/cep-simple.ts"
"src/lib/calculadora-atuarial.ts",true,lib,3,"ts-prune",manual,"TaxaMortalidade|ResultadoSeguroVida|ResultadoAtuarial|CalculadoraAtuarial|calculadoraAtuarial","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/calculadora-atuarial.ts"
"src/lib/email-logger.ts",true,lib,3,"ts-prune",manual,"EmailLogEntry|EmailMetrics|EmailStats|emailLogger","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/email-logger.ts"
"src/lib/email-service.server.ts",true,lib,3,"ts-prune",manual,"EmailOptions|EmailAttachment|TemplateEmailOptions|EmailStats|EmailLogsFilters|IEmailService|emailService","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/email-service.server.ts"
"src/lib/logger-simple.ts",true,lib,3,"ts-prune",manual,"Logger|logger","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/logger-simple.ts"
"src/lib/monitoring.ts",true,lib,3,"ts-prune",manual,"MonitoringService|monitoring|withMonitoring|monitoring","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/monitoring.ts"
"src/lib/notifications/websocket-server.ts",true,lib,3,"ts-prune",manual,"NotificationWebSocketServer|getWebSocketServer|initWebSocketServer","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/notifications/websocket-server.ts"
"src/lib/validations/auth.ts",true,lib,3,"ts-prune",manual,"RegisterSchema|LoginSchema|RegisterData|LoginData","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/validations/auth.ts"
"src/lib/zustand/hooks.ts",true,lib,3,"ts-prune",manual,"useTheme|useSidebarState|useSessionState|useModalState|useExcelAnalysis","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/lib/zustand/hooks.ts"
"src/actions/signin.ts",true,other,2,"ts-prune",manual,"SignInCredentialsResult|SignInEmailResult","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/actions/signin.ts"
"src/app/admin/dashboard/api/acessos-semana.ts",true,other,2,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/acessos-semana.ts"
"src/app/admin/dashboard/api/acessos.ts",true,other,2,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/acessos.ts"
"src/app/admin/dashboard/api/atividades.ts",true,other,2,"ts-prune",manual,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/atividades.ts"
"src/app/admin/dashboard/api/schemas.ts",true,other,2,"ts-prune",manual,"usuarioSchema|Usuario|permissaoSchema|Permissao","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/admin/dashboard/api/schemas.ts"
"src/app/api/aderencia-tabuas/analise-exceljs/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/analise-exceljs/route.ts"
"src/app/api/aderencia-tabuas/analise-python/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/analise-python/route.ts"
"src/app/api/aderencia-tabuas/chi-quadrado/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/chi-quadrado/route.ts"
"src/app/api/aderencia-tabuas/configuracao-avancada/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/configuracao-avancada/route.ts"
"src/app/api/aderencia-tabuas/relatorio/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/relatorio/route.ts"
"src/app/api/aderencia-tabuas/salvar-dados/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/salvar-dados/route.ts"
"src/app/api/aderencia-tabuas/upload/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/upload/route.ts"
"src/app/api/aderencia-tabuas/validar-upload/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/aderencia-tabuas/validar-upload/route.ts"
"src/app/api/admin/calculos-atuariais/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/admin/calculos-atuariais/route.ts"
"src/app/api/admin/tabuas-mortalidade/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/admin/tabuas-mortalidade/route.ts"
"src/app/api/atuarial/calcular/route.ts",true,api-route,2,"ts-prune",keep,"","/home/felipe/Área de Trabalho/GitHub/SiteMetodoAtuarial/site-metodo/src/app/api/atuarial/calcular/route.ts"
